"season","date","gameId","team","iceSit","playerId","position","period","periodType","start","end"
20152016,20160311,21007,"car","away",8476437,"c",3,"regular",1047,1072
20152016,20160311,21007,"car","away",8473533,"c",2,"regular",88,114
20152016,20160311,21007,"car","away",8474089,"c",2,"regular",152,178
20152016,20160311,21007,"car","away",8469508,"c",2,"regular",152,178
20152016,20160311,21007,"car","away",8474089,"c",3,"regular",292,318
20152016,20160311,21007,"car","away",8469508,"c",3,"regular",292,318
20152016,20160311,21007,"bos","home",8473419,"lw",3,"regular",795,821
20152016,20160311,21007,"bos","home",8468639,"d",3,"regular",795,821
20152016,20160311,21007,"bos","home",8470740,"rw",3,"regular",795,821
20152016,20160311,21007,"bos","home",8470638,"c",3,"regular",795,821
20152016,20160311,21007,"car","away",8475807,"lw",3,"regular",867,893
20152016,20160311,21007,"car","away",8473533,"c",3,"regular",867,893
20152016,20160311,21007,"car","away",8475784,"lw",1,"regular",1009,1035
20152016,20160311,21007,"car","away",8474661,"d",1,"regular",1009,1035
20152016,20160311,21007,"car","away",8476858,"lw",1,"regular",1009,1035
20152016,20160311,21007,"car","away",8476465,"d",1,"regular",1009,1035
20152016,20160311,21007,"bos","home",8473419,"lw",3,"regular",1052,1078
20152016,20160311,21007,"car","away",8474052,"lw",3,"regular",1174,1200
20152016,20160311,21007,"car","away",8471804,"lw",3,"regular",1174,1200
20152016,20160311,21007,"car","away",8474062,"c",3,"regular",1174,1200
20152016,20160311,21007,"bos","home",8471717,"d",2,"regular",398,425
20152016,20160311,21007,"bos","home",8471717,"d",2,"regular",611,638
20152016,20160311,21007,"car","away",8477488,"d",3,"regular",688,715
20152016,20160311,21007,"bos","home",8470740,"rw",1,"regular",932,959
20152016,20160311,21007,"bos","home",8470638,"c",1,"regular",932,959
20152016,20160311,21007,"car","away",8476858,"lw",2,"regular",1016,1043
20152016,20160311,21007,"car","away",8477488,"d",3,"regular",151,179
20152016,20160311,21007,"car","away",8478396,"d",3,"regular",151,179
20152016,20160311,21007,"bos","home",8473419,"lw",1,"regular",161,189
20152016,20160311,21007,"bos","home",8468639,"d",1,"regular",161,189
20152016,20160311,21007,"bos","home",8470638,"c",1,"regular",161,189
20152016,20160311,21007,"car","away",8471804,"lw",2,"regular",252,280
20152016,20160311,21007,"bos","home",8471717,"d",2,"regular",252,280
20152016,20160311,21007,"bos","home",8473419,"lw",2,"regular",252,280
20152016,20160311,21007,"bos","home",8470740,"rw",2,"regular",252,280
20152016,20160311,21007,"car","away",8474062,"c",2,"regular",668,696
20152016,20160311,21007,"bos","home",8469619,"d",1,"regular",698,726
20152016,20160311,21007,"bos","home",8476476,"d",1,"regular",698,726
20152016,20160311,21007,"car","away",8476437,"c",1,"regular",931,959
20152016,20160311,21007,"car","away",8476858,"lw",3,"regular",1131,1159
20152016,20160311,21007,"car","away",8475807,"lw",3,"regular",0,29
20152016,20160311,21007,"car","away",8473533,"c",3,"regular",0,29
20152016,20160311,21007,"bos","home",8477956,"rw",3,"regular",53,82
20152016,20160311,21007,"car","away",8476437,"c",1,"regular",79,108
20152016,20160311,21007,"bos","home",8471717,"d",2,"regular",963,992
20152016,20160311,21007,"bos","home",8470638,"c",2,"regular",963,992
